------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:56:56 (uptime: 0d, 00h 00m 15s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
flow.end.tcp_state.closed                     | Total                     | 1
flow.mgr.full_hash_pass                       | Total                     | 6
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9209
flow.mgr.rows_maxlen                          | Total                     | 2
flow.mgr.flows_checked                        | Total                     | 107
flow.mgr.flows_notimeout                      | Total                     | 97
flow.mgr.flows_timeout                        | Total                     | 10
flow.mgr.flows_evicted                        | Total                     | 10
flow.mgr.flows_evicted_needs_work             | Total                     | 1
memcap_pressure                               | Total                     | 8
memcap_pressure_max                           | Total                     | 8
flow.recycler.recycled                        | Total                     | 9
flow.recycler.queue_max                       | Total                     | 1
tcp.memuse                                    | Total                     | 4849664
tcp.reassembly_memuse                         | Total                     | 1105964
http.memuse                                   | Total                     | 112
flow.memuse                                   | Total                     | 11588608
------------------------------------------------------------------------------------
Date: 11/4/2024 -- 02:58:08 (uptime: 0d, 00h 01m 27s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
capture.kernel_packets                        | Total                     | 1426
decoder.pkts                                  | Total                     | 1451
decoder.bytes                                 | Total                     | 605278
decoder.ipv4                                  | Total                     | 333
decoder.ipv6                                  | Total                     | 1112
decoder.ethernet                              | Total                     | 1451
decoder.arp                                   | Total                     | 6
decoder.tcp                                   | Total                     | 1270
tcp.syn                                       | Total                     | 17
tcp.synack                                    | Total                     | 17
tcp.rst                                       | Total                     | 18
decoder.udp                                   | Total                     | 131
decoder.icmpv6                                | Total                     | 43
decoder.avg_pkt_size                          | Total                     | 417
decoder.max_pkt_size                          | Total                     | 1506
tcp.active_sessions                           | Total                     | 11
flow.total                                    | Total                     | 77
flow.active                                   | Total                     | 60
flow.tcp                                      | Total                     | 30
flow.udp                                      | Total                     | 38
flow.icmpv6                                   | Total                     | 9
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 8
decoder.event.ipv4.opt_pad_required           | Total                     | 1
decoder.event.ipv6.zero_len_padn              | Total                     | 1
flow.wrk.flows_evicted_needs_work             | Total                     | 6
flow.wrk.flows_evicted_pkt_inject             | Total                     | 6
flow.wrk.flows_injected                       | Total                     | 6
tcp.sessions                                  | Total                     | 17
tcp.ssn_from_pool                             | Total                     | 17
tcp.segment_from_cache                        | Total                     | 5
tcp.segment_from_pool                         | Total                     | 239
detect.alert                                  | Total                     | 44
app_layer.flow.http                           | Total                     | 1
app_layer.tx.http                             | Total                     | 1
app_layer.flow.tls                            | Total                     | 16
app_layer.flow.quic                           | Total                     | 1
app_layer.flow.dns_udp                        | Total                     | 30
app_layer.tx.dns_udp                          | Total                     | 87
app_layer.flow.failed_udp                     | Total                     | 7
flow.end.state.new                            | Total                     | 11
flow.end.state.closed                         | Total                     | 6
flow.end.tcp_state.closed                     | Total                     | 6
flow.mgr.full_hash_pass                       | Total                     | 7
